state_name,state_abb,state_region,housing_mean
Alabama,AL,South,92545.2156862745
Alaska,AK,West,147385.13725490196
Arizona,AZ,West,140755.58823529413
Arkansas,AR,South,82076.8431372549
California,CA,West,282808.08496732026
Colorado,CO,West,158175.98692810457
Connecticut,CT,Northeast,223063.08496732026
Delaware,DE,South,152905.5294117647
Florida,FL,South,137842.58823529413
Georgia,GA,South,112197.29411764706
Hawaii,HI,West,368217.1111111111
Idaho,ID,West,118775.27450980392
Illinois,IL,North Central,138753.03921568627
Indiana,IN,North Central,92405.66666666667
Iowa,IA,North Central,80488.81699346405
Kansas,KS,North Central,86558.30718954248
Kentucky,KY,South,87001.29411764706
Louisiana,LA,South,94720.92810457517
Maine,ME,Northeast,117947.96078431372
Maryland,MD,South,188834.83006535948
Massachusetts,MA,Northeast,202006.1503267974
Michigan,MI,North Central,100383.23529411765
Minnesota,MN,North Central,116670.84967320261
Mississippi,MS,South,79918.18300653595
Missouri,MO,North Central,96835.36601307189
Montana,MT,West,116037.5751633987
Nebraska,NE,North Central,81559.19607843137
Nevada,NV,West,161602.73856209152
New Hampshire,NH,Northeast,135110.58823529413
New Jersey,NJ,Northeast,210540.3202614379
New Mexico,NM,West,119865.73202614379
New York,NY,Northeast,178006.92810457517
North Carolina,NC,South,114417.70588235294
North Dakota,ND,North Central,78819.94117647059
Ohio,OH,North Central,99219.08496732026
Oklahoma,OK,South,77611.97385620915
Oregon,OR,West,157747.07843137256
Pennsylvania,PA,Northeast,116523.28758169935
Rhode Island,RI,Northeast,159440
South Carolina,SC,South,108311.71241830065
South Dakota,SD,North Central,84351.60130718954
Tennessee,TN,South,101689.19607843137
Texas,TX,South,95699.93464052287
Utah,UT,West,142837.33986928104
Vermont,VT,Northeast,132394.60130718953
Virginia,VA,South,155391.43790849674
Washington,WA,West,178522.5751633987
West Virginia,WV,South,77161.70588235294
Wisconsin,WI,North Central,108359.45098039215
Wyoming,WY,West,122897.24836601307
