state_name,dem_adv
Vermont,25.5
Massachusetts,24.9
Maryland,23.2
New York,21.1
Delaware,19.3
Hawaii,18.7
California,18.3
Connecticut,18.3
Illinois,17.9
Rhode Island,15
Oregon,11.5
New Jersey,10.9
Washington,10.1
New Mexico,5.5
Michigan,4.9
Minnesota,4.7
Maine,3.9
Pennsylvania,2.3
Wisconsin,2.2
North Carolina,1.5
Florida,1.1
Virginia,0.4
Arizona,-0.3
Colorado,-0.6
Georgia,-1.2
Nevada,-1.5
Texas,-3.9
New Hampshire,-4.3
Louisiana,-4.4
Ohio,-5.1
Iowa,-5.8
Indiana,-8
Missouri,-8.3
Alaska,-8.5
West Virginia,-9
Kentucky,-9.2
Mississippi,-10.9
Tennessee,-11.5
South Carolina,-12.1
Nebraska,-12.4
Arkansas,-14.3
Montana,-16.1
Kansas,-16.9
Alabama,-17
Oklahoma,-17.7
North Dakota,-20.9
South Dakota,-22.7
Idaho,-26.2
Utah,-27.6
Wyoming,-33.8
